DAY_TYPE,TIME_PER_HOUR,START,END,TOTAL_TRIPS,COUNT,CROWDEDNESS,START_NAME,END_NAME
WEEKDAY,0.0,BP1,BP2,17.0,1.607612781954887,0.0,Choa Chu Kang,South View
WEEKDAY,0.0,BP1,NS4,51.0,9.140810675679097,0.0,Choa Chu Kang,Choa Chu Kang
WEEKDAY,0.0,BP10,BP9,1.0,0.3333333333333333,0.0,Fajar,Bangkit
WEEKDAY,0.0,BP11,BP10,1.0,0.3333333333333333,0.0,Segar,Fajar
WEEKDAY,0.0,BP11,BP12,2.0,0.6666666666666667,0.0,Segar,Jelapang
WEEKDAY,0.0,BP12,BP13,2.0,0.6666666666666667,0.0,Jelapang,Senja
WEEKDAY,0.0,BP13,BP6,2.0,0.6666666666666667,0.0,Senja,Bukit Panjang
WEEKDAY,0.0,BP2,BP1,102.0,24.32551301269093,0.0,South View,Choa Chu Kang
WEEKDAY,0.0,BP2,BP3,17.0,1.607612781954887,0.0,South View,Keat Hong
WEEKDAY,0.0,BP3,BP2,102.0,24.32551301269093,0.0,Keat Hong,South View
WEEKDAY,0.0,BP3,BP4,17.0,1.607612781954887,0.0,Keat Hong,Teck Whye
WEEKDAY,0.0,BP4,BP3,102.0,24.32551301269093,0.0,Teck Whye,Keat Hong
WEEKDAY,0.0,BP4,BP5,17.0,1.607612781954887,0.0,Teck Whye,Phoenix
WEEKDAY,0.0,BP5,BP4,101.0,23.32551301269093,0.0,Phoenix,Teck Whye
WEEKDAY,0.0,BP5,BP6,17.0,1.607612781954887,0.0,Phoenix,Bukit Panjang
WEEKDAY,0.0,BP6,BP5,101.0,23.32551301269093,0.0,Bukit Panjang,Phoenix
WEEKDAY,0.0,BP6,DT1,5.0,1.5361842105263157,0.0,Bukit Panjang,Bukit Panjang
WEEKDAY,0.0,BP7,BP6,1.0,0.3333333333333333,0.0,Petir,Bukit Panjang
WEEKDAY,0.0,BP8,BP7,1.0,0.3333333333333333,0.0,Pending,Petir
WEEKDAY,0.0,BP9,BP8,1.0,0.3333333333333333,0.0,Bangkit,Pending
WEEKDAY,0.0,CC1,CC2,62.0,22.636800067837218,0.0,Dhoby Ghaut,Bras Basah
WEEKDAY,0.0,CC1,NE6,36.0,9.93222101759186,0.0,Dhoby Ghaut,Dhoby Ghaut
WEEKDAY,0.0,CC1,NS24,15.0,5.901230000649505,0.0,Dhoby Ghaut,Dhoby Ghaut
WEEKDAY,0.0,CC10,CC11,453.0,266.4906099828391,0.0,MacPherson,Tai Seng
WEEKDAY,0.0,CC10,CC9,190.0,107.8603137296022,0.0,MacPherson,Paya Lebar
WEEKDAY,0.0,CC10,DT26,248.0,73.08408641413725,0.0,MacPherson,MacPherson
WEEKDAY,0.0,CC11,CC10,220.0,126.03462586605002,0.0,Tai Seng,MacPherson
WEEKDAY,0.0,CC11,CC12,450.0,262.12453855426764,0.0,Tai Seng,Bartley
WEEKDAY,0.0,CC12,CC11,202.0,119.66855443747859,0.0,Bartley,Tai Seng
WEEKDAY,0.0,CC12,CC13,452.0,254.5377038203741,0.0,Bartley,Serangoon
WEEKDAY,0.0,CC13,CC12,237.0,154.08171970358504,0.0,Serangoon,Bartley
WEEKDAY,0.0,CC13,CC14,427.0,244.4023968265996,0.0,Serangoon,Lorong Chuan
WEEKDAY,0.0,CC13,NE12,118.0,61.40247322349557,0.0,Serangoon,Serangoon
WEEKDAY,0.0,CC14,CC13,300.0,214.61500879593825,0.0,Lorong Chuan,Serangoon
WEEKDAY,0.0,CC14,CC15,414.0,240.61155608839044,0.0,Lorong Chuan,Bishan
WEEKDAY,0.0,CC15,CC14,333.0,243.8241680577291,0.0,Bishan,Lorong Chuan
WEEKDAY,0.0,CC15,CC16,272.0,107.50056529065218,0.0,Bishan,Marymount
WEEKDAY,0.0,CC15,NS17,261.0,142.57343516992123,0.0,Bishan,Bishan
WEEKDAY,0.0,CC16,CC15,325.0,186.84262120760638,0.0,Marymount,Bishan
WEEKDAY,0.0,CC16,CC17,252.0,88.90938882006394,0.0,Marymount,Caldecott
WEEKDAY,0.0,CC17,CC16,325.0,184.25144473701815,0.0,Caldecott,Marymount
WEEKDAY,0.0,CC17,CC19,143.0,51.29313786542289,0.0,Caldecott,Botanic Gardens
WEEKDAY,0.0,CC17,TE9,119.0,23.086177384706797,0.0,Caldecott,Caldecott
WEEKDAY,0.0,CC19,CC17,338.0,189.5427712209917,0.0,Botanic Gardens,Caldecott
WEEKDAY,0.0,CC19,CC20,185.0,77.94731430277096,0.0,Botanic Gardens,Farrer Road
WEEKDAY,0.0,CC19,DT9,109.0,36.70656931259206,0.0,Botanic Gardens,Botanic Gardens
WEEKDAY,0.0,CC2,CC1,64.0,22.348857180706354,0.0,Bras Basah,Dhoby Ghaut
WEEKDAY,0.0,CC2,CC3,92.0,36.917030858718164,0.0,Bras Basah,Esplanade
WEEKDAY,0.0,CC20,CC19,327.0,196.60746991942813,0.0,Farrer Road,Botanic Gardens
WEEKDAY,0.0,CC20,CC21,188.0,80.94731430277096,0.0,Farrer Road,Holland Village
WEEKDAY,0.0,CC21,CC20,316.0,185.60746991942813,0.0,Holland Village,Farrer Road
WEEKDAY,0.0,CC21,CC22,199.0,93.80842541388208,0.0,Holland Village,Buona Vista
WEEKDAY,0.0,CC22,CC21,282.0,160.46858103053924,0.0,Buona Vista,Holland Village
WEEKDAY,0.0,CC22,CC23,36.0,22.51978021978022,0.0,Buona Vista,one-north
WEEKDAY,0.0,CC22,EW21,157.0,67.83161881404915,0.0,Buona Vista,Buona Vista
WEEKDAY,0.0,CC23,CC22,111.0,91.88548510313217,0.0,one-north,Buona Vista
WEEKDAY,0.0,CC23,CC24,30.0,14.755074337427278,0.0,one-north,Kent Ridge
WEEKDAY,0.0,CC24,CC23,84.0,67.12077922077923,0.0,Kent Ridge,one-north
WEEKDAY,0.0,CC24,CC25,23.0,8.231997414350355,0.0,Kent Ridge,Haw Par Villa
WEEKDAY,0.0,CC25,CC24,38.0,22.5977022977023,0.0,Haw Par Villa,Kent Ridge
WEEKDAY,0.0,CC25,CC26,26.0,9.462300444653385,0.0,Haw Par Villa,Pasir Panjang
WEEKDAY,0.0,CC26,CC25,27.0,12.828005328005329,0.0,Pasir Panjang,Haw Par Villa
WEEKDAY,0.0,CC26,CC27,23.0,7.287974770327711,0.0,Pasir Panjang,Labrador Park
